No,コマサイズ,話者,セリフ,状況描写,構図・演出
27,小,美咲,え……現場にいた方なんですか？,美咲の表情が少し変わる。,驚きの表情アップ。
28,中,美咲,"正直、月末は毎回80時間くらいかかっています。ミスがあると全部やり直しで……",美咲がうつむき加減で本音を話す。隣の社長が驚いている。,美咲の本音。社長の驚きリアクション。
29,中,森下,では、さっきの手書きの請求書をアップロードしてみますね。,森下がノートPCでデモ。,PC画面を中心に構成。
30,大,美咲,……読めてる。あの佐々木さんの字を……,"画面にAI読み取り結果「佐々木工業 ¥1,350,000 国道3号拡幅工事」。美咲が身を乗り出す。","画面クローズアップと美咲の驚き。コマ2の伏線回収。"
31,中,森下,"現場コードの自動振り分けもできます。御社に合わせてカスタマイズします。業務にシステムを合わせるのが、うちのやり方です。",森下がホワイトボードで説明。,コード変換の図示。
32,小,美咲,でも……今の会計ソフトは変えないといけないですよね？,美咲が核心的な質問。,真剣な表情アップ。
33,中,森下,いえ。今お使いのシステムにそのまま連携します。変更は一切不要です。,森下が落ち着いて回答。,信頼感のある表情。
34,小,美咲,（……嘘じゃないなら、これは——）,美咲の目に少し光が差す。,モノローグ。期待が芽生える表情アップ。
35,中,丸山社長,"中村に確認したが、本当に良いらしい。導入の方向で検討してくれ。毎月80時間残業してる方がよっぽどコストだ。それに——",社長が経理室で美咲に話す。,社長の真剣な表情。
36,大,丸山社長,——高橋さんにずっと無理させてきたのは、俺の責任だ。すまなかった。,社長が美咲に向き合い頭を下げる。,余白多めの大コマ。2人のバストショット。感情クライマックス。
37,小,美咲,社長……,美咲が目を潤ませる。,美咲の表情アップ。
38,中,美咲,"森下さん、高橋です。導入の件、前向きに進めたいのですが。",美咲が電話。窓から光が差し込む。,決意の表情。希望の光。
39,中,美咲,"佐藤さん……月末の地獄が、終わるかもしれない。",美咲が佐藤に報告。,2人の表情が明るくなる。
40,中,場面説明,,業務フロー整理→要件定義→社員説明会→テスト運用。導入プロセスが進む。,STEP1〜4をダイジェストで見せるモンタージュ演出。
41,小,小林,へえ……俺でもできそうだな。,社員説明会。工事部長がうなずく。,小林の表情アップ。
42,小,美咲,あ……本当に現場コードが自動で入ってる……,テスト運用。PC画面を見て驚く。,感動の表情アップ。
43,中,森下,本番稼働まで伴走します。それがうちの仕事ですから。,森下がPC画面を微調整しながら。,森下の信頼感ある表情。
44,中,美咲,転記作業がゼロになるってこと……？,原価管理システムへの自動連携画面を見て驚く。,PC画面のデータ連携表示と美咲の驚き。
45,大,ナレーション,本番稼働から1ヶ月後——,コマ1と同じ俯瞰アングル。デスクはスッキリ。時計は18:00。,コマ1との劇的な対比。Before/After。
46,中,佐藤,"今月分、残りは3枚の確認だけです。修正が必要なのは1枚だけでした。",美咲がダッシュボード画面を確認。,画面に「処理済み：397枚」の表示。
47,中,美咲,"佐藤さん、今日はこれで上がれるね。",18:30。帰り支度をする2人。,時計の18:30を見せる。
48,小,佐藤,え……月末なのに、ですか？,佐藤が信じられない表情。,驚きの表情アップ。
49,小,美咲,もうやることないから。,穏やかに微笑む。,美咲の笑顔アップ。
50,大,佐藤,"高橋さん、月末に明るいうちに帰るの……入社して初めてです。",夕暮れの空。2人が会社の前を歩いている。,夕日のシルエット。背景に工事車両。感動カット。
51,小,美咲,私は20年ぶりかな。,美咲が微笑む。,穏やかな笑顔アップ。
52,中,丸山社長,"高橋さん、最近顔色が良くなったな。",翌月。社長が経理室で美咲と話す。,社長の嬉しそうな表情。美咲のクマがなくなっている。
53,大,美咲,"月末が怖かった20年間。あの請求書の山は、もう戻ってこない。",穏やかにデスクで仕事。デスクに一輪の花。,モノローグ。成果数字「月80時間→ほぼゼロ」を画面内表示。
54,大,ナレーション,"CraftBank AIは、専門工事会社の請求書処理に特化したAIシステム。手書き対応。現場コード自動振り分け。既存システム連携。全国6拠点の対面サポート。",サービス紹介。,4つの特長をアイコンで表示。
55,大,ナレーション,"まずは無料相談から。御社の請求書を見せていただければ、具体的な改善イメージをお伝えします。",CTA。,"CTAボタン「サービス資料DL（無料）」「無料で相談する（30分・しつこい営業なし）」を大きく表示。"
