No,コマサイズ,話者,セリフ,状況描写,構図・演出
32,小,美咲,私でも読めなかったのに……？,"【場所】会議室。美咲の顔アップ。目がにじんでいる。驚きと感動が混ざった表情。",驚きと感動が混ざった表情アップ。
33,中,森下,"現場コードの自動振り分けもできます。今お使いのシステムにそのまま連携するので、御社のやり方を変える必要はありません。","【場所】会議室。森下が立ち上がり、ホワイトボードに簡潔なフロー図を描いている。「請求書→AI読取→コード振分→既存会計ソフト」の矢印図。美咲と社長がホワイトボードを見ている。",信頼感のある表情。機能説明は1コマに凝縮。
34,小,美咲,"（……嘘じゃないなら、これは——）","【場所】会議室。美咲の横顔。窓からの光が美咲の顔に差し込み、目に光が映っている。",モノローグ。期待が芽生える表情アップ。
35,中,相川社長,"堀内に確認したが、本当に良いらしい。導入の方向で検討してくれ。毎月80時間残業してる方がよっぽどコストだ。それに——","【場所】経理室。【時間】後日の昼間。相川社長が経理室に来て、美咲のデスクの横に立って話している。社長はスーツ姿で真剣な表情。",社長の真剣な表情。
36,大,相川社長,——柏木さんにずっと無理させてきたのは、俺の責任だ。すまなかった。,"【場所】経理室。相川社長が美咲に向き合い、深く頭を下げている。美咲はデスクの椅子に座ったまま、驚いて社長を見上げている。周囲は余白多め。2人だけの静かな空間。",余白多めの大コマ。2人のバストショット。感情クライマックス。
37,小,美咲,社長……,"【場所】経理室。美咲の顔アップ。目が潤み、唇を噛んでいる。",美咲の表情アップ。
38,中,美咲,"森下さん、柏木です。導入の件、前向きに進めたいのですが。","【場所】経理室。美咲がデスクの固定電話で通話中。窓から午後の光が差し込んでいる。美咲の表情は穏やかだが力強い。デスク上の請求書はまだ多いが、美咲の目に光がある。",決意の表情。希望の光。
39,中,場面説明,,"【場所】4つの場面のモンタージュ。①会議室：森下と美咲がPC画面を見ながら業務フロー整理。②会議室：ホワイトボードに要件定義の図。③経理室：社員説明会、黒田や若林たちが椅子に座りPC画面を見ている。④経理室：美咲がPCでテスト運用。横に森下。",STEP1〜4をダイジェストで見せるモンタージュ演出。
40,小,美咲,あ……本当に現場コードが自動で入ってる……,"【場所】経理室・美咲のデスク。PCモニターに自動入力された現場コードの一覧が表示されている。美咲がモニターを見て小さくガッツポーズ。",感動の表情アップ。
41,中,森下,本番稼働まで伴走します。それがうちの仕事ですから。,"【場所】経理室。森下が美咲の横でPC画面を見ながら設定を微調整している。ヘルメットはデスクの端に置いてある。森下の穏やかな表情。",森下の信頼感ある表情。
42,大,ナレーション,本番稼働から1ヶ月後——,"【場所】経理室（コマ3と同じ部屋・同じアングル）。【時間】夕方18:00。壁掛け時計が18:00を指す。【状態】デスクの上はスッキリ片付いている。請求書の山がない。PCモニター2台が整然と並ぶ。蛍光灯ではなく窓からの夕日が部屋を照らしている。",コマ3との劇的な対比。Before/After。同じ部屋、まったく違う風景。
43,中,若林,"今月分、残りは3枚の確認だけです。修正が必要なのは1枚だけでした。","【場所】経理室。若林がPCモニター前で美咲に報告している。モニターにダッシュボード画面が表示。「処理済み：397枚 / 要確認：3枚」の表示。美咲は椅子に座り画面を確認。",画面に「処理済み：397枚」の表示。
44,中,美咲,"若林さん、今日はこれで上がれるね。","【場所】経理室。【時間】18:30。壁掛け時計が18:30を指す。美咲と若林がデスクの引き出しを閉め、カバンを手に取っている。帰り支度。",時計の18:30を見せる。
45,小,若林,え……月末なのに、ですか？,"【場所】経理室。若林の上半身アップ。信じられないという表情で目を見開いている。",驚きの表情アップ。
46,小,美咲,もうやることないから。,"【場所】経理室。美咲が穏やかに微笑んでいる。自然な笑顔。",美咲の笑顔アップ。コマ29の自嘲的な笑顔との対比。
47,大,若林,"柏木さん、月末に明るいうちに帰るの……入社して初めてです。","【場所】ソラノ建設の社屋前の駐車場（コマ1と同じ場所・同じアングル）。【時間】夕方18:30頃、夕焼け空。【人物】美咲と若林が並んで歩いている。2人ともカバンを持っている。【背景】駐車場の工事車両。夕日が2人のシルエットを照らす。",夕日のシルエット。背景に工事車両。コマ1の伏線回収。同じ構図で感動が倍増する。
48,小,美咲,私は20年ぶりかな。,"【場所】社屋前の駐車場。美咲の顔アップ。穏やかに微笑んでいる。夕日の光が顔を照らす。",穏やかな笑顔アップ。
49,中,相川社長,"柏木さん、最近顔色が良くなったな。","【場所】経理室。【時間】翌月の昼間。相川社長が経理室のドア付近に立ち、笑顔で美咲に声をかけている。美咲はデスクで振り返り笑顔。目の下のクマがなくなっている。整頓されたデスク。",社長の嬉しそうな表情。美咲のクマがなくなっている。
50,大,美咲,"月末が怖かった20年間。あの請求書の山は、もう戻ってこない。","【場所】経理室・美咲のデスク。【時間】夕方。窓から夕日が差し込む。美咲がデスクで穏やかに仕事をしている。デスクの端に一輪挿しの小さな花。PCモニターには整理されたダッシュボード。画面内に「月間残業時間：月80時間→ほぼゼロ」の数字。",モノローグ。美咲のすっきりした横顔。成果数字をさりげなく画面内表示。
51,大,ナレーション,"CraftBank AIは、専門工事会社の請求書処理に特化したAIシステム。手書き対応。現場コード自動振り分け。既存システム連携。全国6拠点の対面サポート。","【場所】インフォグラフィック風のサービス紹介画面。中央にCraftBankのロゴ。4つの特長をアイコン付きで表示：①手書き対応（ペンのアイコン）②現場コード自動振り分け（矢印のアイコン）③既存システム連携（歯車のアイコン）④全国6拠点の対面サポート（日本地図のアイコン）。",4つの特長をアイコンで表示。
52,大,ナレーション,"まずは無料相談から。御社の請求書を見せていただければ、具体的な改善イメージをお伝えします。","【場所】CTA画面。明るい背景色。中央に大きなCTAボタン2つ：「サービス資料DL（無料）」（青系ボタン）と「無料で相談する（30分・しつこい営業なし）」（オレンジ系ボタン）。上部に森下と美咲がPCを見ながら笑顔で話しているカット。","CTAボタン「サービス資料DL（無料）」「無料で相談する（30分・しつこい営業なし）」を大きく表示。"
